0taskID beam field RA Dec  Good noise bmaj bmin bpa
190409015 00 S2248+33 342.1625000 33.9444440 0 38.0 26.41 11.87  0.17
190409015 01 S2248+33 340.3509880 32.9181120 1 56.2 27.11 11.80  0.41
190409015 02 S2248+33 340.9081590 32.9249150 1 40.8 27.09 11.83  0.10
190409015 03 S2248+33 341.4655670 32.9292460 1 39.4 27.13 11.84  0.13
190409015 04 S2248+33 342.0231070 32.9311020 1 36.1 27.10 11.80  0.16
190409015 05 S2248+33 342.5806730 32.9304830 1 39.2 27.09 11.78  0.17
190409015 06 S2248+33 343.1381600 32.9273890 1 29.7 25.91 11.39  0.26
190409015 07 S2248+33 343.6954630 32.9218220 1 34.6 25.91 11.40  0.32
190409015 08 S2248+33 340.6222930 33.3269400 0 35.0 25.55 11.40  0.16
190409015 09 S2248+33 341.1822280 33.3325950 1 30.9 25.62 11.43  0.19
190409015 10 S2248+33 341.7423500 33.3357380 1 27.4 25.62 11.42  0.21
190409015 11 S2248+33 342.3025520 33.3363660 1 26.2 25.64 11.41  0.23
190409015 12 S2248+33 342.8627280 33.3344800 1 27.8 25.64 11.42  0.26
190409015 13 S2248+33 343.4227700 33.3300810 1 30.0 25.64 11.41  0.29
190409015 14 S2248+33 343.9825710 33.3231710 1 38.1 25.66 11.42  0.32
190409015 15 S2248+33 340.8962450 33.7353080 1 30.3 25.34 11.45  0.19
190409015 17 S2248+33 342.0217820 33.7416910 1 26.4 25.41 11.45  0.22
190409015 19 S2248+33 343.1474280 33.7378610 1 27.8 25.43 11.46  0.28
190409015 20 S2248+33 343.7100210 33.7321180 1 32.7 25.40 11.45  0.32
190409015 21 S2248+33 340.6075960 34.1373150 1 32.0 25.10 11.48  0.16
190409015 22 S2248+33 341.1728710 34.1431470 1 27.6 25.09 11.47  0.19
190409015 23 S2248+33 341.7383390 34.1463880 1 26.2 25.13 11.46  0.24
190409015 24 S2248+33 342.3038890 34.1470360 1 25.6 25.11 11.47  0.25
190409015 25 S2248+33 342.8694120 34.1450910 1 26.7 25.12 11.46  0.28
190409015 26 S2248+33 343.4347970 34.1405550 1 28.0 25.13 11.47  0.30
190409015 27 S2248+33 340.8841030 34.5457810 1 27.7 24.82 11.51  0.20
190409015 28 S2248+33 341.4521980 34.5503870 1 28.2 24.83 11.52  0.24
190409015 29 S2248+33 342.0204330 34.5523610 1 28.1 24.85 11.50  0.25
190409015 30 S2248+33 342.5886950 34.5517030 1 26.4 24.86 11.50  0.27
190409056 00 M1403+53 210.8500000 53.4013890 0 24.7 17.70 12.44 -0.73
190409056 01 M1403+53 208.3594690 52.3619440 1 38.6 17.92 12.41 -1.14
190409056 02 M1403+53 209.1252210 52.3755710 0 35.7 17.93 12.43 -0.96
190409056 03 M1403+53 209.8915890 52.3842490 0 28.5 17.97 12.40 -0.79
190409056 04 M1403+53 210.6583010 52.3879700 0 27.4 17.93 12.43 -0.46
190409056 05 M1403+53 211.4250810 52.3867290 0 27.8 18.00 12.40 -0.26
190409056 06 M1403+53 212.1916550 52.3805290 0 53.8 18.11 12.41  0.17
190409056 08 M1403+53 208.7224720 52.7743600 1 31.3 17.83 12.45 -1.06
190409056 09 M1403+53 209.4957490 52.7856810 0 28.5 17.84 12.45 -0.95
190409056 10 M1403+53 210.2695180 52.7919740 0 27.1 17.85 12.43 -0.79
190409056 11 M1403+53 211.0435000 52.7932320 0 26.4 17.88 12.41 -0.59
190409056 12 M1403+53 211.8174110 52.7894560 0 26.4 17.91 12.39 -0.40
190409056 13 M1403+53 212.5909690 52.7806480 0 41.3 17.99 12.42  0.21
190409056 14 M1403+53 213.3638930 52.7668170 0 40.4 17.90 12.41  0.09
190409056 15 M1403+53 209.0925350 53.1857840 1 29.2 17.74 12.45 -1.07
190409056 17 M1403+53 210.6546660 53.1985560 0 26.0 17.84 12.42 -0.74
190409056 19 M1403+53 212.2170870 53.1908920 0 29.7 17.80 12.46 -0.46
190409056 20 M1403+53 212.9976810 53.1794020 0 35.7 17.76 12.46 -0.35
190409056 21 M1403+53 208.6817810 53.5844610 0 32.2 17.65 12.47 -1.10
190409056 22 M1403+53 209.4698320 53.5961220 0 27.6 17.64 12.46 -0.95
190409056 23 M1403+53 210.2584060 53.6026030 0 37.6 17.64 12.44 -0.89
190409056 24 M1403+53 211.0472040 53.6039000 0 25.9 17.62 12.47 -0.72
190409056 25 M1403+53 211.8359270 53.6000100 0 25.7 17.62 12.47 -0.58
190409056 26 M1403+53 212.6242770 53.5909380 0 28.7 17.62 12.47 -0.39
190409056 27 M1403+53 209.0585860 53.9960690 0 28.7 17.53 12.47 -1.11
190409056 28 M1403+53 209.8545460 54.0052760 0 39.4 17.57 12.49 -0.95
190409056 29 M1403+53 210.6508900 54.0092240 0 32.7 17.52 12.48 -0.82
190409056 30 M1403+53 211.4473110 54.0079080 0 27.2 17.56 12.49 -0.65
190409056 31 M1403+53 212.2435010 54.0013300 0 27.6 17.58 12.44 -0.49
190409056 32 M1403+53 213.0391540 53.9894960 1 32.0 17.52 12.49 -0.36
190409056 33 M1403+53 208.6395040 54.3944660 0 36.4 17.46 12.51 -1.19
190409056 34 M1403+53 209.4429050 54.4064750 0 32.2 17.45 12.51 -1.01
190409056 35 M1403+53 210.2468600 54.4131510 0 29.5 17.46 12.52 -0.89
190409056 36 M1403+53 211.0510530 54.4144860 0 31.6 17.44 12.51 -0.76
190409056 37 M1403+53 211.8551670 54.4104800 0 28.3 17.48 12.50 -0.62
190409056 38 M1403+53 212.6588850 54.4011370 0 34.7 17.46 12.48 -0.44
190409056 39 M1403+53 213.4618910 54.3864650 0 40.9 17.48 12.47 -0.32
190410001 00 M0155+33 28.8291670 33.9444440 0 27.0 25.02 11.52 -0.26
190410001 01 M0155+33 27.0176550 32.9181120 0 44.6 25.71 11.38 -0.20
190410001 02 M0155+33 27.5748260 32.9249150 0 31.4 25.60 11.47 -0.31
190410001 03 M0155+33 28.1322340 32.9292460 0 30.2 25.64 11.45 -0.28
190410001 04 M0155+33 28.6897740 32.9311020 0 28.5 25.62 11.48 -0.27
190410001 05 M0155+33 29.2473400 32.9304830 0 29.3 25.64 11.46 -0.24
190410001 06 M0155+33 29.8048270 32.9273890 0 30.4 25.57 11.49 -0.26
190410001 07 M0155+33 30.3621300 32.9218220 0 35.8 25.58 11.49 -0.25
190410001 08 M0155+33 27.2889600 33.3269400 0 35.7 25.43 11.47 -0.31
190410001 09 M0155+33 27.8488950 33.3325950 0 29.0 25.48 11.46 -0.28
190410001 10 M0155+33 28.4090170 33.3357380 0 27.5 25.51 11.44 -0.25
190410001 11 M0155+33 28.9692190 33.3363660 0 27.6 25.46 11.46 -0.24
190410001 12 M0155+33 29.5293950 33.3344800 0 29.4 25.40 11.49 -0.23
190410001 13 M0155+33 30.0894370 33.3300810 0 32.4 25.38 11.48 -0.21
190410001 14 M0155+33 30.6492380 33.3231710 0 45.4 25.41 11.46 -0.16
190410001 15 M0155+33 27.5629120 33.7353080 0 31.6 25.17 11.52 -0.30
190410001 17 M0155+33 28.6884490 33.7416910 0 27.0 25.24 11.48 -0.23
190410001 19 M0155+33 29.8140950 33.7378610 0 30.5 25.17 11.55 -0.23
190410001 20 M0155+33 30.3766880 33.7321180 0 35.3 25.20 11.49 -0.20
190410001 21 M0155+33 27.2742630 34.1373150 1 33.1 25.05 11.51 -0.30
190410001 22 M0155+33 27.8395380 34.1431470 0 28.3 25.03 11.57 -0.31
190410001 23 M0155+33 28.4050060 34.1463880 0 27.1 24.92 11.58 -0.28
190410001 24 M0155+33 28.9705560 34.1470360 0 27.1 24.97 11.51 -0.23
190410001 25 M0155+33 29.5360790 34.1450910 0 28.3 24.89 11.53 -0.25
190410001 26 M0155+33 30.1014640 34.1405550 0 29.6 24.83 11.54 -0.24
190410001 27 M0155+33 27.5507700 34.5457810 1 30.7 24.63 11.58 -0.31
190410001 28 M0155+33 28.1188650 34.5503870 1 30.2 24.71 11.53 -0.27
190410001 29 M0155+33 28.6871000 34.5523610 0 26.3 24.61 11.55 -0.27
190410001 30 M0155+33 29.2553620 34.5517030 0 27.5 24.62 11.56 -0.27
190410001 31 M0155+33 29.8235410 34.5484120 1 29.1 24.59 11.58 -0.25
190410001 32 M0155+33 30.3915250 34.5424920 0 34.2 24.61 11.55 -0.21
190410001 33 M0155+33 27.2592840 34.9476080 0 34.6 24.50 11.55 -0.32
190410001 34 M0155+33 27.8300020 34.9536170 1 33.0 24.43 11.58 -0.30
190410001 35 M0155+33 28.4009180 34.9569570 0 31.0 24.42 11.59 -0.30
190410001 36 M0155+33 28.9719190 34.9576250 0 30.0 24.42 11.60 -0.28
190410001 37 M0155+33 29.5428920 34.9556210 1 29.6 24.39 11.59 -0.26
